SA2_MAINCODE_2016,Med_ag_pe_In_pe_hh_In_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_ps,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_w_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
213051465,21,33,33,820,778,778,2083,1967,1968,1733,1929,1915,365,361,361,1,0.9,0.9,3.2,3.2,3.2,11.5,2.4,2.4
213051466,20,31,31,928,875,876,1812,2106,2104,2600,2045,2048,390,380,380,1,0.8,0.8,3.6,3.2,3.3,0,1.9,2
213051467,21,35,35,433,529,528,1089,1199,1198,1300,1387,1387,277,277,277,1.1,0.9,0.9,3.4,2.7,2.7,11,6.5,6.6
213051468,20,36,36,537,674,672,1474,1496,1496,1300,1500,1500,305,280,280,1,0.8,0.8,3.4,2.7,2.7,9.1,3.2,3.3
214011370,22,36,36,494,673,671,1297,1339,1339,1473,1517,1517,330,325,325,1,0.8,0.8,3.2,2.6,2.6,11.8,3.7,3.9
214011371,27,39,39,469,609,607,1016,1100,1099,1387,1517,1517,286,286,286,1,0.8,0.8,2.7,2.2,2.2,4.2,2.7,2.7
214011372,24,39,39,445,533,531,1081,1042,1043,1289,1343,1340,290,290,290,0.9,0.8,0.8,3,2.3,2.4,10.8,3.2,3.4
214011373,35,44,44,855,705,706,1833,1614,1617,1804,1950,1950,350,355,355,0.9,0.8,0.8,2.9,2.6,2.6,0,1.2,1.2
214011374,22,37,37,523,720,719,1765,1592,1595,1725,1720,1720,315,320,320,1,0.8,0.8,3.2,2.7,2.7,0,1.5,1.5
214011375,27,41,40,515,666,664,1318,1207,1208,1608,1600,1600,300,300,300,1,0.8,0.8,2.7,2.2,2.2,5.2,2.2,2.3
214011376,26,35,35,778,780,780,2187,1912,1914,1733,1868,1867,437,400,400,0.9,0.8,0.8,3.3,3,3,0,1.7,1.7
214021377,23,50,50,725,595,596,1062,1157,1157,1733,1733,1733,270,330,330,0.9,0.7,0.7,2.7,2.3,2.3,0,1.7,1.7
